Prompt ID,Prompt Text,Sentiment,Complexity,Response Length,Response Time (s),Prompt Category,Usefulness Rating,Assistant Emotion,Feedback Sentiment,Interaction Date,Word Count
1,Sample prompt text 1,Neutral,High,410,1.21,Personal,1,Calm,Negative,28-04-2024,37
2,Sample prompt text 2,Neutral,High,278,5.85,General Knowledge,1,Calm,Neutral,08-07-2024,5
3,Sample prompt text 3,Positive,Medium,343,8.22,Personal,1,Calm,Neutral,03-06-2024,47
4,Sample prompt text 4,Positive,High,373,4.44,General Knowledge,4,Calm,Positive,05-10-2024,37
5,Sample prompt text 5,Negative,High,281,7.69,Coding,4,Excited,Neutral,02-09-2024,19
6,Sample prompt text 6,Positive,Medium,447,5.23,AI,4,Excited,Neutral,03-07-2024,11
7,Sample prompt text 7,Positive,Medium,184,8.79,Personal,2,Calm,Neutral,03-05-2024,33
8,Sample prompt text 8,Neutral,Low,57,4.68,Personal,5,Calm,Negative,30-11-2024,44
9,Sample prompt text 9,Negative,Medium,230,6.56,Coding,1,Excited,Positive,05-11-2024,13
10,Sample prompt text 10,Positive,High,329,3.63,Coding,4,Excited,Positive,10-05-2024,38
11,Sample prompt text 11,Negative,Low,162,3.67,General Knowledge,2,Focused,Negative,17-07-2024,21
12,Sample prompt text 12,Negative,High,336,5.66,Healthcare,4,Focused,Positive,25-04-2024,34
13,Sample prompt text 13,Neutral,Medium,333,4.45,AI,1,Focused,Positive,23-11-2024,24
14,Sample prompt text 14,Positive,Medium,411,9.3,General Knowledge,4,Excited,Positive,26-11-2024,11
15,Sample prompt text 15,Positive,Low,397,3.72,Healthcare,3,Neutral,Positive,15-09-2024,31
16,Sample prompt text 16,Negative,Low,164,3.4,Healthcare,2,Calm,Negative,18-03-2024,20
17,Sample prompt text 17,Neutral,High,474,6.37,AI,5,Neutral,Negative,07-08-2024,33
18,Sample prompt text 18,Positive,Medium,344,6.29,Healthcare,5,Focused,Neutral,01-06-2024,38
19,Sample prompt text 19,Negative,Medium,389,7.13,AI,2,Neutral,Negative,20-04-2024,36
20,Sample prompt text 20,Neutral,Low,369,3.01,AI,4,Excited,Positive,30-09-2024,22
21,Sample prompt text 21,Negative,High,404,1.61,General Knowledge,4,Neutral,Positive,03-02-2024,8
